"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "Django HTML", "Django txt", "comment", "blank", "total"
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/styles/bootystrap.css", "CSS", 0, 0, 2985, 0, 0, 0, 0, 2, 2987
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/styles/header.css", "CSS", 0, 0, 143, 0, 0, 0, 9, 28, 180
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/styles/home.css", "CSS", 0, 0, 150, 0, 0, 0, 0, 30, 180
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/styles/profile.css", "CSS", 0, 0, 163, 0, 0, 0, 14, 25, 202
"/Users/dimerson/Desktop/Webdev/Project/kv2/client/src/styles/settings.css", "CSS", 0, 0, 304, 0, 0, 0, 9, 48, 361
"/Users/dimerson/Desktop/Webdev/Project/kv2/package-lock.json", "JSON", 0, 985, 0, 0, 0, 0, 0, 1, 986
"/Users/dimerson/Desktop/Webdev/Project/kv2/package.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 2, 7, 29
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/middleware/auth.js", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 2, 24
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/models/User.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 11, 54
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/package-lock.json", "JSON", 0, 5505, 0, 0, 0, 0, 0, 1, 5506
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/package.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 1, 40
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/routes/data.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/routes/users.js", "JavaScript", 191, 0, 0, 0, 0, 0, 29, 43, 263
"/Users/dimerson/Desktop/Webdev/Project/kv2/server/utils/email.js", "JavaScript", 20, 0, 0, 0, 0, 0, 3, 5, 28
"Total", "-", 2368, 46346, 3931, 38, 40, 3, 210, 555, 53491
